,date,home_team,away_team,home_shots,away_shots,odds_h,odds_d,odds_a,league,season,prob_h,prob_d,prob_a,home_adj_shots,home_adj_shots_conc,away_adj_shots,away_adj_shots_conc
60,2019-09-28,Sheffield United,Liverpool,12.0,16.0,10.0,5.4,1.39,premier_league,1920,0.09954115057157256,0.18433546402143064,0.7161233854069968,10.732372727867231,11.2,14.529708384828183,10.2
61,2019-09-28,Aston Villa,Burnley,16.0,10.0,2.45,3.47,3.18,premier_league,1920,0.4037969634538608,0.28510160243860494,0.3111014341075343,9.055650432987369,16.0,7.815181769384921,14.6
62,2019-09-28,Bournemouth,West Ham,13.0,17.0,2.58,3.65,2.9,premier_league,1920,0.3851331683888808,0.272231116285839,0.3426357153252802,12.930449491853542,18.6,10.33850629191859,13.2
63,2019-09-28,Chelsea,Brighton,24.0,8.0,1.47,4.8,8.5,premier_league,1920,0.6760451359546652,0.20703882288611622,0.11691604115921857,15.23733910230874,8.6,14.105633427070913,10.6
64,2019-09-28,Crystal Palace,Norwich,15.0,10.0,2.0,3.85,4.0,premier_league,1920,0.495176848874598,0.2572347266881028,0.247588424437299,11.312785338866227,14.8,9.83164090555093,17.8
65,2019-09-28,Tottenham,Southampton,9.0,14.0,1.49,4.8,8.18,premier_league,1920,0.669986110210531,0.20797485504451899,0.12203903474495002,12.810979060444717,18.2,15.486753481620065,14.2
66,2019-09-28,Wolves,Watford,6.0,14.0,1.95,3.6,4.7,premier_league,1920,0.5111010421386497,0.2768463978251019,0.21205256003624826,14.995161552666394,13.0,17.274643899690037,15.8
67,2019-09-28,Everton,Man City,12.0,20.0,11.0,6.35,1.33,premier_league,1920,0.09088463338911278,0.1574379476031875,0.7516774190076997,14.52854835171256,7.6,22.388366798650697,6.2
68,2019-09-29,Leicester,Newcastle,13.0,3.0,1.56,4.21,7.6,premier_league,1920,0.6345944830978428,0.23514664931891566,0.13025886758324143,11.332552977327625,10.2,11.986760581506473,16.4
69,2019-09-30,Man United,Arsenal,16.0,10.0,2.43,3.65,3.15,premier_league,1920,0.41030994058133935,0.2731652481130561,0.31652481130560467,14.728076790955662,7.6,15.719624860209777,20.2
70,2019-10-05,Brighton,Tottenham,17.0,8.0,4.1,3.75,2.02,premier_league,1920,0.24253970286885246,0.26517674180327866,0.49228355532786877,14.234605504130462,13.8,11.259128416675345,15.0
71,2019-10-05,Burnley,Everton,9.0,11.0,3.05,3.37,2.65,premier_league,1920,0.32722642581023403,0.29615448033270436,0.3766190938570618,8.229675135617677,14.6,16.239511317425947,10.0
72,2019-10-05,Liverpool,Leicester,18.0,2.0,1.5,4.85,7.7,premier_league,1920,0.664856685063201,0.20562577888552608,0.1295175360512729,16.00993026686323,9.8,10.728835464703035,8.0
73,2019-10-05,Norwich,Aston Villa,21.0,22.0,2.5,3.75,2.95,premier_league,1920,0.39775280898876403,0.26516853932584267,0.33707865168539325,9.934042904653994,18.8,9.945156916882711,15.6
74,2019-10-05,Watford,Sheffield United,8.0,9.0,2.25,3.5,3.75,premier_league,1920,0.4458598726114649,0.28662420382165604,0.267515923566879,16.86408441322616,14.6,11.297046245172726,13.2
75,2019-10-05,West Ham,Crystal Palace,9.0,7.0,2.05,3.7,4.0,premier_league,1920,0.4838973352950794,0.2681052803661926,0.24799738433872817,11.006021824287652,12.6,10.88974316943626,13.8
76,2019-10-06,Arsenal,Bournemouth,12.0,10.0,1.5,5.2,7.2,premier_league,1920,0.6680942184154175,0.19271948608137043,0.139186295503212,16.806411290444146,19.8,12.45203370493198,17.6
77,2019-10-06,Man City,Wolves,18.0,7.0,1.14,10.5,28.0,premier_league,1920,0.870105655686762,0.09446861404599129,0.035425730267246734,26.02474443701563,8.0,12.117141589406748,14.0
78,2019-10-06,Southampton,Chelsea,10.0,13.0,4.3,4.0,1.93,premier_league,1920,0.23239712212890212,0.2498269062885698,0.5177759715825281,14.406566174399785,13.0,18.20775107868181,7.8
79,2019-10-06,Newcastle,Man United,12.0,12.0,4.6,3.55,1.95,premier_league,1920,0.21483435487625108,0.2783769105438746,0.5067887345798743,10.503550828286716,16.0,13.31843984089331,8.4
80,2019-10-19,Everton,West Ham,19.0,8.0,2.02,3.9,4.0,premier_league,1920,0.49432790417643707,0.2560365042144623,0.2496355916091007,15.261066700012885,10.4,10.15120905954843,9.4
81,2019-10-19,Aston Villa,Brighton,24.0,20.0,2.45,3.55,3.15,premier_league,1920,0.40519974635383643,0.27964489537095755,0.31515535827520613,11.231494617309902,17.4,14.00541229446083,13.0
82,2019-10-19,Bournemouth,Norwich,11.0,10.0,1.78,4.6,4.5,premier_league,1920,0.5610060165862648,0.21708493685294594,0.22190904656078914,11.494418084989821,16.2,11.127284035915764,18.6
83,2019-10-19,Chelsea,Newcastle,16.0,5.0,1.34,5.9,12.0,premier_league,1920,0.7469457514822864,0.16964530626885826,0.08340894224885531,17.493168554187726,8.6,11.513203947486252,15.0
84,2019-10-19,Leicester,Burnley,19.0,13.0,1.62,4.3,6.8,premier_league,1920,0.6192029138960654,0.2332810977934014,0.14751598831053322,9.589461541275131,10.0,8.441760516657407,13.4
85,2019-10-19,Tottenham,Watford,12.0,7.0,1.45,5.1,8.0,premier_league,1920,0.6823312986035622,0.19399615352454222,0.12367254787189565,10.846211340261306,16.8,14.702971302998984,13.2
86,2019-10-19,Wolves,Southampton,4.0,14.0,1.9,3.75,4.75,premier_league,1920,0.5244755244755245,0.26573426573426573,0.20979020979020976,12.524706822425674,15.0,14.216642819838034,13.2
87,2019-10-19,Crystal Palace,Man City,7.0,21.0,13.0,7.2,1.26,premier_league,1920,0.0762019957665558,0.13758693680072576,0.7862110674327185,10.520621876009,11.2,23.786201490451443,7.4
88,2019-10-20,Man United,Liverpool,7.0,10.0,5.5,4.1,1.74,premier_league,1920,0.18173944056656646,0.24379681051612576,0.5744637489173078,12.872469042901628,9.8,18.039398295123238,8.4
89,2019-10-21,Sheffield United,Arsenal,8.0,9.0,4.0,3.94,1.98,premier_league,1920,0.24780503919799754,0.251578719997967,0.5006162408040354,10.952887205811091,12.8,14.929620600127919,16.8
90,2019-10-25,Southampton,Leicester,6.0,25.0,3.3,3.5,2.45,premier_league,1920,0.303970223325062,0.2866004962779156,0.40942928039702225,14.697016049184109,9.8,11.098657572815856,11.0
91,2019-10-26,Man City,Aston Villa,25.0,11.0,1.11,13.25,35.0,premier_league,1920,0.8964687347467416,0.07510039966557609,0.02843086558768238,25.696353884650563,7.6,13.733783736916351,17.0
92,2019-10-26,Brighton,Everton,8.0,10.0,2.95,3.46,2.65,premier_league,1920,0.3371761634214059,0.28747678673212357,0.3753470498464707,14.025466403174068,14.8,17.201517292062896,10.4
93,2019-10-26,Watford,Bournemouth,7.0,15.0,2.26,3.7,3.44,premier_league,1920,0.44095841243885203,0.26934216543562306,0.2896994221255249,13.28150789208262,13.0,10.344840862370154,15.6
94,2019-10-26,West Ham,Sheffield United,12.0,10.0,2.18,3.6,3.7,premier_league,1920,0.4556338509954163,0.27591160976944656,0.2684545392351371,9.958030656986745,11.6,9.416029968994327,12.0
95,2019-10-26,Burnley,Chelsea,13.0,16.0,4.8,4.25,1.8,premier_league,1920,0.20850367947669665,0.23548650858544562,0.5560098119378577,11.041643869772653,14.2,16.91813324511148,8.0
96,2019-10-27,Newcastle,Wolves,13.0,13.0,3.1,3.2,2.7,premier_league,1920,0.3208317861121426,0.3108057927961381,0.36836242109171924,10.89970364342724,15.6,9.459141264494885,14.8
97,2019-10-27,Arsenal,Crystal Palace,15.0,10.0,1.54,4.8,7.0,premier_league,1920,0.6489994591671173,0.20822065981611682,0.1427798810167658,12.95019126196014,15.8,9.497821631359406,13.4
98,2019-10-27,Liverpool,Tottenham,21.0,11.0,1.57,4.65,6.5,premier_league,1920,0.6332428950042426,0.2138045903562711,0.15295251463948628,18.247878870892237,8.4,10.681881677091345,13.0
99,2019-10-27,Norwich,Man United,10.0,21.0,4.65,4.1,1.87,premier_league,1920,0.21641380283677933,0.24544492272951807,0.5381412744337026,11.621379649412589,17.2,9.86246742984127,9.8
100,2019-11-02,Bournemouth,Man United,12.0,15.0,3.44,3.7,2.26,premier_league,1920,0.2896994221255249,0.26934216543562306,0.44095841243885203,9.57112449473172,14.2,10.996156894672653,10.0
101,2019-11-02,Arsenal,Wolves,10.0,25.0,1.83,4.0,4.85,premier_league,1920,0.5450127122810468,0.2493433158685789,0.2056439718503744,12.937118929002784,11.6,9.292099375260616,14.4
102,2019-11-02,Aston Villa,Liverpool,5.0,25.0,9.25,5.7,1.39,premier_league,1920,0.10778785260966867,0.1749188836209535,0.7172932637693779,16.535532943411898,19.4,18.387494541454803,9.0
103,2019-11-02,Brighton,Norwich,21.0,7.0,1.75,4.4,5.0,premier_league,1920,0.5721716514954487,0.22756827048114434,0.20026007802340703,13.50669045370554,15.4,11.640800731647568,16.4
104,2019-11-02,Man City,Southampton,26.0,3.0,1.11,13.5,41.0,premier_league,1920,0.9014731390320768,0.07412112476485964,0.024405736203063546,25.071344488745886,8.4,12.589013266252755,11.4
105,2019-11-02,Sheffield United,Burnley,13.0,6.0,2.34,3.32,3.6,premier_league,1920,0.4246610386288054,0.2993092862624713,0.2760296751087235,9.280205439223227,12.2,12.741668152704245,14.6
106,2019-11-02,West Ham,Newcastle,16.0,12.0,1.84,3.95,4.75,premier_league,1920,0.5396097266360852,0.2513625055722523,0.20902776779166246,10.193384216166915,11.6,10.501388183815042,14.0
107,2019-11-02,Watford,Chelsea,12.0,16.0,5.25,4.5,1.7,premier_league,1920,0.19029850746268656,0.2220149253731343,0.5876865671641791,9.549358741792025,14.0,16.76540621088584,8.4
108,2019-11-03,Crystal Palace,Leicester,12.0,14.0,3.65,3.5,2.25,premier_league,1920,0.2728453876136856,0.2845387613685578,0.44261585101775663,9.505242709753778,13.8,15.184747316405597,10.2
109,2019-11-03,Everton,Tottenham,7.0,4.0,2.82,3.6,2.68,premier_league,1920,0.3526625142556365,0.27625230283358193,0.37108518291078163,16.606586311967504,9.4,12.46353530796758,15.0
110,2019-11-08,Norwich,Watford,17.0,12.0,2.75,3.65,2.72,premier_league,1920,0.36173507496675233,0.2725401249749504,0.3657248000582974,10.724895960673795,18.0,9.779182175931293,11.6
111,2019-11-09,Chelsea,Crystal Palace,23.0,3.0,1.37,5.6,10.25,premier_league,1920,0.7255307181363719,0.177495907829791,0.09697337403383703,17.12481723509945,9.6,10.073938544991627,13.8
112,2019-11-09,Burnley,West Ham,14.0,7.0,2.33,3.73,3.3,premier_league,1920,0.4290509569903343,0.2680130642861874,0.30293597872347844,12.766619241781708,15.0,11.238491968213811,12.2
113,2019-11-09,Newcastle,Bournemouth,20.0,16.0,2.72,3.5,2.95,premier_league,1920,0.3704833327352973,0.28791847572571677,0.341598191538986,11.312243187939103,14.0,10.937846105650596,12.2
114,2019-11-09,Southampton,Everton,4.0,24.0,3.11,3.53,2.58,premier_league,1920,0.3239972251374091,0.28544798022021023,0.39055479464238063,9.994859227994866,15.4,14.180544609739929,9.8
115,2019-11-09,Tottenham,Sheffield United,17.0,14.0,1.63,4.34,6.5,premier_league,1920,0.6148755863223422,0.23093253587682436,0.1541918778008335,10.385052352653279,13.2,10.029982960665494,10.2
116,2019-11-09,Leicester,Arsenal,19.0,8.0,2.08,3.98,3.8,premier_league,1920,0.48309610814402165,0.25247233792451385,0.2644315539314645,15.856409927049588,10.4,11.71693695779382,13.8
117,2019-11-10,Man United,Brighton,21.0,6.0,1.72,3.8,6.5,premier_league,1920,0.5823274236137307,0.26357978121463593,0.15409279517163335,11.958678215683795,10.8,13.381874525224584,14.6
118,2019-11-10,Wolves,Aston Villa,17.0,13.0,1.96,3.8,4.4,premier_league,1920,0.5098804586484508,0.2629909734081483,0.2271285679434008,12.178310737401336,13.8,15.366177118122902,20.2
119,2019-11-10,Liverpool,Man City,12.0,18.0,2.7,3.75,2.78,premier_league,1920,0.3715782720273738,0.26753635585970914,0.36088537211291705,19.718170989534286,7.4,24.590748174021762,8.0
120,2019-11-23,West Ham,Tottenham,11.0,15.0,4.45,4.36,1.82,premier_league,1920,0.22392920234110883,0.22855159413255371,0.5475192035263374,10.065247368358149,12.4,13.036669537918788,13.2
121,2019-11-23,Arsenal,Southampton,12.0,21.0,1.52,5.0,7.0,premier_league,1920,0.6574004507888807,0.1998497370398197,0.14274981217129978,10.012051182824772,14.4,8.472305626834345,18.4
122,2019-11-23,Bournemouth,Wolves,9.0,17.0,2.9,3.41,2.7,premier_league,1920,0.3419371611082226,0.2907969991829459,0.36726583970883164,11.924227880472648,12.8,13.47815176839367,13.6
123,2019-11-23,Brighton,Leicester,7.0,19.0,3.85,3.7,2.1,premier_league,1920,0.2581395348837209,0.26860465116279064,0.4732558139534883,12.220448185105344,14.0,17.383008144971747,11.4
124,2019-11-23,Crystal Palace,Liverpool,16.0,12.0,8.0,4.84,1.48,premier_league,1920,0.12409568423095048,0.20511683343958756,0.670787482329462,9.306367122691011,16.4,19.05585880526043,8.6
125,2019-11-23,Everton,Norwich,18.0,13.0,1.45,5.25,9.0,premier_league,1920,0.6957482054113749,0.19215902816123687,0.11209276642738816,14.146624467686843,6.6,12.142824578685264,17.4
126,2019-11-23,Watford,Burnley,15.0,11.0,2.4,3.51,3.35,premier_league,1920,0.41663566303481264,0.2848790858357693,0.298485251129418,8.552173896091848,13.8,13.55843802045798,13.2
127,2019-11-23,Man City,Chelsea,15.0,11.0,1.48,5.3,7.1,premier_league,1920,0.6721803436818977,0.18770319031117147,0.1401164660069308,23.962545872429253,8.0,15.759280573858737,8.6
128,2019-11-24,Sheffield United,Man United,12.0,11.0,3.68,3.4,2.25,premier_league,1920,0.2689684269741931,0.2911187680191267,0.4399128050066803,10.423760331979464,10.4,13.61017140503075,10.0
129,2019-11-25,Aston Villa,Newcastle,17.0,11.0,2.2,3.6,3.75,premier_league,1920,0.45500505561172905,0.27805864509605666,0.2669362992922144,15.532388115666837,21.6,14.057269920781902,14.6
130,2019-11-30,Newcastle,Man City,6.0,24.0,18.0,8.3,1.21,premier_league,1920,0.05541791053012035,0.12018342042676702,0.8243986690431128,12.419398718176136,15.6,25.090528817214153,8.8
131,2019-11-30,Burnley,Crystal Palace,15.0,7.0,2.38,3.35,3.5,premier_league,1920,0.4183316683316683,0.29720279720279713,0.2844655344655344,14.027150709443976,14.0,11.89300496998824,17.0
132,2019-11-30,Chelsea,West Ham,19.0,5.0,1.33,6.35,10.53,premier_league,1920,0.7486404996198887,0.15680186842432314,0.09455763195578841,16.845927475198934,9.6,10.601789073010794,14.0
133,2019-11-30,Liverpool,Brighton,15.0,12.0,1.23,7.25,17.25,premier_league,1920,0.8058280577973227,0.13671289808147682,0.057459044121200405,15.940146976006247,11.4,10.87444791057942,16.2
134,2019-11-30,Tottenham,Bournemouth,15.0,20.0,1.41,5.5,8.5,premier_league,1920,0.7031132501127989,0.18025266957437208,0.116634080312829,14.622433635356487,12.0,11.838216702537409,13.8
